page,step,lead,result,figures,lead_translation,result_translation,,
201,4(1),"Голова і груди чорні (II–III), рідше світлобуруваті з темним рисунком (II–III стадії S. distinctus) або все тіло тьмяного (бурого, буруваторудого, брудносірого та ін.) забарвлення з розмитими темними плямами і смугами (IV–V). Випарні площадки у старших стадій розмиті, завжди з світлими підвищеннями біля вивідних отворів другої і третьої площадок.",,,"The head and thorax are black (II–III), less often light brownish with a dark pattern (stages II–III of S. distinctus) or the whole body is dull (brown, brownish-red, dirty gray, etc.) with blurred dark spots and stripes (IV–V) . ESESs in older stages are blurred, always with light elevations near the ostioles of the second and third ESESs.",,"The head and chest are black (II - III), rarely serout with dark pattern (II -III S. Distinctus) or the whole body of dull (brown, brownish, dirty gray, etc.) color with blurred dark spots and stripes (IV - V) . The evaporated platforms in the older stages are blurred, always with light elevations near the output holes of the second and third platforms.",
201,5(6),"В основних кутах щитка розміщено по темній плямці, а вздовж грудей проходять чотири темні поздовжні смужки (IV–V стадії; I–III стадії невідомі).",С. борозенчатий -- S. sulcatus,,"There is a dark spot in the top corners of the shield, and four dark longitudinal stripes run along the thorax (stages IV–V; stages I–III are unknown).", -- Sciocoris sulcatus,"In the main corners of the panel are placed on a dark spot, and there are four dark longitudinal strips along the breast (stage IV -V; stage I -III unknown).",S. Brosene - S. sulcatus
201,6(5),"Основні кути щитка без темних плям, а темні поздовжні смуги на грудях нечіткі.",,,"The top corners of the shield are without dark spots, and the dark longitudinal stripes on the thorax are indistinct.",,"The main angles of the shield without dark spots, and dark longitudinal stripes on the chest are fuzzy.",
201,7(10),"Бокові краї передньоспинки чорні (I–III), а якщо більш-менш світлі, то не світліші за її диск (IV–V). Темні плями, розміщені на верхній і нижній сторонах черевного обідка, зливаються на його краю; плями посередині черевця знизу суцільні. Тіло в дрібному пунктируванні або голова дуже широка. Не зв'язані з злаковими.",,,"The lateral edges of the pronotum are black (I–III), and if more or less light, then not lighter than its disc (IV–V). Dark spots located on the upper and lower sides of the abdominal margin merge at its edge; the spots in the middle of the abdomen below are solid. The body is finely punctuated or the head is very broad. Not related to Poaceae.",,"The lateral edges of the anterior ends of black (I-III), and if more or less light, it is not lighter than its disk (IV-V). Dark spots located on the upper and lower sides of the abdominal rim merge on its edges; The spots in the middle of the abdomen are solid below. The body in small puncture or head is very wide. Not related to the cereal.",
201,8(9),"Тіло у всіх стадій матове, не таке широке і велике, як у наступного виду, і пунктироване дрібними точками. Очі наполовину врізані в голову, а ширина голови трохи більша за довжину (III–V). Поширений всюди.",С. жвавий -- S. cursitans,,"The body in all stages is matte, not as wide and large as in the next species, and punctuated with small dots. The eyes are half set into the head, and the width of the head is slightly greater than the length (III–V). Widespread everywhere.",Sand-runner shieldbug -- Sciocoris cursitans,"The body in all stages is matte, not as wide and large as in the next species, and is punctured with small points. The eyes are half cut into the head and the width of the head is slightly larger than the length (III - V). Distributed everywhere.",S. lively - S. cursitans
201,9(8),"Тіло сильно (I–II) або помірно (IV–V) блискуче, ширше і більше, пунктироване великими точками. Очі врізані в голову не менше ніж на ⅔ (III–IV) або майже не виступають за краї вилиць (V); ширина голови значно більша за довжину (II–V). Зустрічається тільки на півдні.",С. широкоголовий -- S. deltocephalus,,"The body is strongly (I–II) or moderately (IV–V) shiny, wider and larger, puntuated with large dots. The eyes are set into the head by at least ⅔ (III–IV) or almost do not protrude beyond the edges of the jugae (V); head width much larger than length (II–V). Found only in the south.", -- Sciocoris deltocephalus,"The body is strongly (I -II) or moderate (IV -V) shiny, wider and more, punctured by large points. The eyes are cut in the head no less than ⅔ (III -IV) or almost do not protrude beyond the edges of the forks (V); The width of the head is much larger than the length (II - V). Occurs only in the south.",S. broad -headed - S. deltocephalus
201,10(7),"Бокові краї передньоспинки світлі, завжди (II–V) світліші за диск. Темні плями не зливаються по краю черевного обідка, а розділені світлою смужкою (I–V); плями посередині черевця знизу розділені поздовжньою світлою смужкою (IV–V). Тіло в крупному пунктируванні, а ширина голови не більша за довжину. Тісно зв'язаний із злаками.",С. відмінний -- S. distinctus,,"The lateral edges of the pronotum are light, always lighter than the disc (II–V). The dark spots do not merge along the edge of the abdominal margin, but are separated by a light stripe (I–V); the spots in the middle of the abdomen are separated from below by a longitudinal light stripe (IV–V). The body is coarsely punctuated, and the width of the head is not greater than the length. Closely related to Poaceae.", -- Sciocoris distinctus,"The lateral edges of the front are light, always (II -V) lighter than the disk. Dark spots do not merge along the edge of the abdominal rim, but separated by a light strip (I - V); The spots in the middle of the abdomen are separated by a longitudinal light strip (IV - V). The body in large -digging, and the width of the head is not longer than the length. Closely bound to cereals.",C. Excellent - S. Distinctus
,,Таблиця для визначення видів роду елія,,,Table for determining the species of the genus Aelia,,Table to identify species of the genus Eliya,
219,1(2),"Все тіло густо вкрите короткими світлими волосками, що стирчать з бурих або чорних точок.",Е. гостроголова -- A. acuminata,,The whole body is densely covered with short light hairs sticking out from brown or black dots.,Bishop's mitre shield bug -- Aelia acuminata,The whole body is densely covered with short light hairs protruding from brown or black points.,E. Acute head - A. Acuminata
219,2(1),Груди і черевце голі або вкриті довгими розкиданими волосками.,,,The thorax and abdomen are bare or covered with long scattered hairs.,,The chest and abdomen are bare or covered with long scattered hairs.,
219,3(8),Голова і груди без волосків або лише з дуже короткими (коротшими за товщину вусиків) волосками у вершинній частині голови.,,,The head and thorax without hairs or with only very short hairs (shorter than the thickness of the antennae) on the top of the head.,,Head and chest without hairs or only with very short (shorter than the thickness of the antennae) hairs at the top of the head.,
219,4(7),"Голова і груди з різко окресленими чорними поздовжніми смугами. Голова коротша; зовнішні краї вилиць вигнуті досередини у вигляді тупого кута. Вершини вилиць, загинаючись одна до одної, трохи закривають вершину наличника.",,,"Head and thorax with sharply defined black longitudinal stripes. The head is shorter; the outer edges of the jugae are bent inward in the form of an obtuse angle. The tops of the jugae, bending towards each other, slightly cover the top of the tylus.",,"Head and chest with sharply defined black longitudinal stripes. The head is shorter; The outer edges of the cheeks are curved in the middle in the form of a blunt angle. The tops of the cheeks, bending to each other, are slightly closed by the top of the trim.",
219,5(6),"Випарні площадки різко окреслені, чорні. Звичайно черевце рівномірно негусто пунктироване, без темних поздовжніх смуг. Лісовий вид, частіше зустрічається на заході УРСР. Розміри менші.",Е. Ключа -- A. klugi,,"The ESESs are sharply delineated, black. Usually, the abdomen is evenly, sparsely punctuated, without dark longitudinal stripes. A forest species, more common in the west of the Ukrainian SSR. Smaller in size.", -- Aelia klugi,"The evaporation platforms are sharply outlined, black. Usually the abdomen is evenly punctured, without dark longitudinal stripes. Forest species, more common in the West of the USSR. The dimensions are smaller.",E. Key - A. Klugi
219,6(5),"Випарні площадки не так різко окреслені, розмиті. Черевце з чотирма–шістьма розмитими темними поздовжніми смугами, вкритими чорними точками пунктирування, а в проміжках між ними — світлими. Степовий вид, частіше зустрічається на сході УРСР. Розміри більші.",Е. сибірська -- A. sibirica,,"The ESESs are not so sharply defined, blurred. Abdomen with four to six blurred dark longitudinal stripes, covered with black dots, and in the spaces between them light punctuation. A steppe species, more common in the east of the Ukrainian SSR. Larger in size.", -- Aelia sibirica,"The evaporation platforms are not so sharply defined, blurred. The abdomen with four to six blurred dark longitudinal stripes, covered with black dots of punctuation, and in the intervals between them - light. The steppe species, more common in the East of the USSR. The sizes are larger.",E. Siberian - A. Sibirica
219,7(4),"Поздовжні смуги на всіх відділах тіла нечітко виражені, часто вони дуже розмиті. Голова значно довша; зовнішні краї вилиць трохи вигнуті біля середини (II–III) або прямі (IV–V). Вершинні частини вилиць майже паралельні; наличник спереду широко відкритий (I–V).",Е. носата -- A. rostrata,,"Longitudinal stripes on all parts of the body are not clearly defined, often they are very blurred. The head is much longer; the outer edges of the jugae are slightly curved near the middle (II–III) or straight (IV–V). The upper parts of the jugae are almost parallel; tylus wide open in front (I–V).", -- Aelia rostrata,"Longitudinal stripes in all parts of the body are not clearly expressed, often they are very blurred. The head is much longer; The outer edges of the cheeks are slightly curved near the middle (II - III) or straight (IV - V). The tops of the cheeks are almost parallel; The front trim is wide open (I - V).",E. Nosata - A. Rostrata
219,8(3),"Принаймні вся поверхня голови вкрита довгими (вдвоє довшими за товщину членикії вусиків) волосками. Темні смуги й плями на тілі широкі, різко окреслені.",Е. строката -- A. virgata,,"At least the entire surface of the head is covered with long hairs (twice as long as the thickness of the joint of the antennae). Dark stripes and spots on the body are wide, sharply defined.", -- Aelia virgata,"At least the entire surface of the head is covered with long (twice as long as the thickness of the ancestral tendrils) hairs. Dark stripes and spots on the body are wide, sharply defined.",E. Strokata - A. Virgata
,,Таблиця для визначення видів роду неотиглоса,,,Table for determining the species of the genus Neottiglossa,,Table to determine the species of the genus neotlos,
233,1(2),"Черевце червоне (I–III), а якщо білувате, то з червонуватим відтінком між випарними площадками (III–V). Голова і груди чорні (I–III) або груди з трьома більш-менш вузькими, поздовжніми смужками білуватого кольору (IV–V). Точки пунктирування на грудях більші, ніж на черевці (II–V).",Н. тонконогова -- N. leporina,,"The abdomen is red (I–III), and if whitish, then with a reddish tint between the ESESs (III–V). The head and thorax are black (I–III) or the thorax with three more or less narrow longitudinal whitish stripes (IV–V). Dots on the thorax are larger than on the abdomen (II–V).", -- Neottiglossa leporina,"The abdomen is red (I -III), and if whitish, then with a reddish tinge between evaporated platforms (III - V). Head and chest black (I-III) or chest with three or more narrow, longitudinal strips of whitish color (IV-V). The dots of puncture on the chest are larger than on the abdomen (II - V).",N. Tonkonova - N. Leporina
233,2(1),"Черевце жовте (I–II), а якщо білувате, то з вохристим відтінком між випарними площадками (III–V). Голова і груди чорні (I–III) або майже суцільно світлобурі (III–V). Точки пунктирування на черевці такі ж великі, як і на грудях (II–V).",Н. мала -- N. pusilla,,"The abdomen is yellow (I–II), and if whitish, then with an ocher tint between the ESESs (III–V). The head and thorax are black (I–III) or almost completely light brown (III–V). Dots on the abdomen are as large as on the thorax (II–V).",Small grass shieldbug -- Neottiglossa pusilla,"The abdomen is yellow (I -II), and if whitish, then with a shrill shade between evaporated platforms (III - V). The head and chest are black (I -III) or almost completely by light). The dots on the belly on the abdomen are as large as on the chest (II - V).",N. Mala - N. Pusilla
,,Таблиця для визначення видів роду стагономус,,,Table for determining the species of the genus Stagonomus,,Table to identify species of the genus Stagonomos,
236,1(2),"Тіло не видовжене; вусики і ноги темнобурі або бурі (I–V). Бокові краї грудей темні, не світліші за диск (II–V); передньоспинка спереду часто світла (II–IV). Черевце без чорного пунктирування (I–V).",С. малий -- S. pusillus,,"The body is not elongated; antennae and legs dark brown or brown (I–V). The lateral edges of the thorax are dark, not lighter than the disc (II–V); pronotum often bright in front (II–IV). Abdomen without black stippling (I–V).", -- Stagonomus pusillus,"The body is not elongated; The tendrils and legs of the dark brown or brown (I - V). The side edges of the breast are dark, not lighter than the disk (II - V); The front in front is often light (II - IV). Abdomen without black puncture (I - V).",S. Small - S. Pusillus
236,2(1),"Тіло видовжене; вусики і ноги чорні (I–IV) або майже бурі з чорними перев'язями на стегнах (IV–V). Бокові краї грудей завжди світліші за диск (II–V), а передньоспинка спереду не світліша, ніж ззаду (II–V). Черевце пунктироване чорними точками (IV–V).",С. чудовий -- S. amoenus,,"The body is elongated; antennae and legs are black (I–IV) or almost brown with black bands on the thighs (IV–V). The lateral edges of the thorax are always lighter than the disc (II–V), and the pronotum is not lighter anteriorly than posteriorly (II–V). The abdomen is punctuated with black dots (IV–V).", -- Stagonomus amoenus,"The body elongated; The tendrils and legs are black (I -IV) or almost brown with black ligations on the thighs (IV - V). The lateral edges of the breast are always lighter than a disk (II - V), and the front in front is not lighter than behind (II - V). The abdomen is punctured with black dots (IV - V).",S. Wonderful - S. Amoenus
,,Таблиця для визначення видів роду столія,,,Table for determining the species of the genus Stollia,,Table to determine the species of the genus Hall,
242,1(4),"Найбільша стернітна пляма розташована на VI стерніті, ширина її більше ніж вдвоє перевершує довжину (II–V).",,,"The largest sternite spot is located on sternite VI, its width is more than twice the length (II–V).",,"The largest stubble spot is located on VI stubble, its width is more than twice as long as the length (II -V).",
242,2(3),"Тіло зелене. Черевце в досить дрібному чорному пунктируванні, без червоних смужок між тергітами (II–V).",С. неприваблива -- S. inconspicua,,"The body is green. Abdomen with rather fine black punctuation, without red stripes between tergites (II–V).",White-spotted stink bug -- Stollia inconspicua,"The body is green. The abdomen in a fairly small black punctuation, without red strips between tergits (II - V).",S. Unattractive - S. Inconspicua
242,3(2),Тіло не зелене. Черевце густо пунктироване великими чорними точками і несе червоні смужки між тергітами (II–V).,С. бронзова -- S. aenea,,The body is not green. Abdomen is densely punctuated with large black dots and red stripes between the tergites (II–V).,New forest shieldbug -- Stollia aenea,The body is not green. The abdomen is densely punctured with large black dots and carries red strips between tergits (II -V).,S. Bronze - S. Aenea
242,4(1),"Найбільша стернітна пляма розташована на VII стерніті, ширина її менше ніж вдвоє перевершує довжину (II–V). Черевце негусто пунктироване невеликими чорними точками і несе жовтуваті смужки між тергітами.",С. красива -- S. venustissima,,"The largest sternite spot is located on sternite VII, its width is less than twice the length (II–V). The abdomen is sparsely punctuated with small black dots and has yellowish stripes between the tergites.",Woundwort shield bug -- Stollia venustissima,"The largest stubble spot is located on VII stubble, its width is less than twice as long as the length (II -V). The abdomen is packed with small black dots and carries yellowish stripes between the tergits.",S. Beautiful - S. Venustissima
,,Таблиця для визначення видів роду паломена,,,Table for determining the species of the genus Palomena,,Table to determine the species of the genus Palomen,
253,,Личинки паломени зеленої і паломени яскравозеленої розрізняються лише в старших стадіях по імагінальних ознаках.,,,The larvae of Palomena prasina and Palomena viridissima differ only in the older stages by imaginal features.,,The larvae of green palomens and the palomen of bright greeted differ only in the older stages by imaginal signs.,
,,Таблиця для визначення видів роду пітедія,,,Table for determining the species of the genus Pitedia,,Table to determine the species of the genus Pitedia,
256,1(2),Хоботок заходить за середину черевця (II–V). Черевце зверху і знизу сизувато- або зеленуватобіле (III–V).,П. соснова -- P. pinicola,,The proboscis extends beyond the middle of the abdomen (II–V). The abdomen is bluish- or greenish-white above and below (III–V)., -- Pitedia pinicola,The proboscis goes in the middle of the abdomen (II - V). The abdomen on top and bottom is bluish or greenish).,P. Sosnova - P. Pinicola
256,2(1),"Хоботок трохи заходить лише за тазики задніх ніг (II–V). Черевце зверху темнофіолетове, а знизу яскравозелене (III–V).",П. ялівцева -- P. juniperina,,The proboscis extends slightly only behind the coxae of the hind legs (II–V). The abdomen is dark purple above and bright green below (III–V)., -- Pitedia juniperina,"The proboscis goes a little only as the hind legs (II - V). The abdomen on top is dark violet, and the bottom is bright (III - V).",P. Yalivtseva - P. Juniperina
,,Таблиця для визначення видів роду голькостетус,,,Table for determining the species of the genus Holcostethus,,Table to identify species of the Golcostetus genus,
260,1(4),Наличник спереду закритий або майже закритий вилицями (IV–V).,,,The tylus is covered or almost covered in front by the jugae (IV–V).,,The front trim is closed or almost closed with cheeks (IV - V).,
260,2(3),Четвертий членик вусиків світлий (III–V).,Г. східний -- H. inclusus,,The fourth segment of the antennae is light (III–V)., -- Holcostethus inclusus,The fourth joint of the antennae is light (III - V).,G. Eastern - H. INCLUSUS
260,3(2),Четвертий членик вусиків темнобурий (III–V).,Г. весняний -- H. vernalis,,The fourth segment of the antennae is dark brown (III–V)., -- Holcostethus vernalis,The fourth joint of the tendrils of the dark brown (III - V).,G. Spring - H. Vernalis
260,4(1),Наличник спереду широко відкритий.,Г. західний -- H. sphacelatus,,The tylus is wide open in front., -- Holcostethus sphacelatus,The front trim is wide open.,G. Western - H. Sphacelatus
,,Таблиця для визначення видів роду карпокорис,,,Table for determining the species of the genus Carpocoris,,Table to identify species,
264,1(2),Середньоспинка рівна за шириною передньоспинці (IV) або значно вужча від неї (V). Голова звичайно з двома поздовжніми світлими смугами.,Гостроплечий щитник -- C. fuscispinus,,The mesonotum is equal in width to the pronotum (IV) or is much narrower than it (V). The head usually has two longitudinal light stripes.,Northern fruit bug -- Carpocoris fuscispinus,The average element is equal to the width of the front (IV) or much narrower than it (V). The head is usually with two longitudinal light stripes.,The stingy shield - C. fuscispinus
264,2(1),Середньоспинка ширша за передньоспинку (IV) або рівна їй за шириною (V). Голова суцільно темна.,Звичайний щитник -- C. pudicus,,The mesonotum is wider than the pronotum (IV) or equal to it in width (V). The head is completely dark., -- Carpocoris pudicus,The average element is wider than the front (IV) or equal in width (V). The head is completely dark.,The usual shield - C. pudicus
,,Таблиця для визначення видів роду долікорис,,,Table for determining the species of the genus Dolycoris,,Table to identify species of the genus dolicoris,
274,1(2),Сплющені бокові краї передньоспинки і надкрил пунктировані темними точками. Наличник не коротший за вилиці. Другий членик вусиків не червонуватий.,Ягідний щитник -- D. baccarum,,The flattened lateral edges of the pronotum and hemelytra are punctuated with dark dots. Tylus not shorter than the jugae. The second segment of the antennae is not reddish.,Sloe bug -- Dolycoris baccarum,The flattened edges of the anterior stop and elytra are punctured with dark points. The trim is not shorter than the cheeks. The second member of the antennae is not reddish.,Berry shield - D. Baccarum
274,2(1),Сплющені бокові краї передньоспинки і надкрил пунктировані безколірними точками. Наличник явно коротший за вилиці. Другий членик вусиків часто червонуватий.,Долікорис болотний -- D. varicornis,,The flattened lateral edges of the pronotum and hemelytra are punctuated with colorless dots. Tylus is clearly shorter than the jugae. The second segment of the antennae is often reddish., -- Dolycoris varicornis,Slunted side edges of the front and elytra are punctured with colorless points. The trim is clearly shorter than the cheeks. The second member of the antennae is often reddish.,Dolicular swamp - D. varicornis
,,Таблиця для визначення видів роду евридема,,,Table for determining the species of the genus Eurydema,,Table to determine the species of the genus Euridem,
292,1(4),Черевце яскравочервоне.,,,The abdomen is bright red.,,The abdomen is bright red.,
292,2(3),"Темнозабарвлені ділянки тіла без металевого полиску або полиск дуже слабий. На узбережжі Сиваша, Азовського і Чорного морів.",Ееридема приморська -- E. spectabilis,,"Dark-colored areas of the body without a metallic sheen or the sheen is very weak. On the coast of the Sivash, Azov and Black seas.",Spectacular cabbage bug -- Eurydema spectabilis,"Dark -colored areas of the body without metal polysis or the shelter are very weak. On the coast of Sivash, Azov and Black Seas.",Eeridem Primorsky - E. Spectabilis
292,3(2),"Темні ділянки тіла з металевим полиском. Далеко від берегів морів, на кам'янистих схилах.",Евридема фібера -- E. fieberi,,"Dark areas of the body with a metallic sheen. Far from the shores of the seas, on rocky slopes.", -- Eurydema fieberi,"Dark areas of the body with a metal polish. Far from the shores of the seas, on rocky slopes.",Fiber Euridem - E. Fieberi
292,4(1),"Черевце вохристе, жовтувате або білувате.",Решта видів роду евридема ненадійно відрізняються в старших личинкових стадіях лише по імагінальних ознаках.,,"The abdomen is ocher, yellowish or whitish.","The remaining species of the genus Eurydema differ unreliably in the older larval stages, only by imaginal characters.","The abdomen is wrick, yellowish or whitish.",Other species of the Euride genus are unreliable in the older larval stages only on imaginal grounds.
,,Таблиця для визначення родів підродини азопін,,,Table for determining the genera of the subfamily Asopinae,,Table to determine the genus of the subfamily Azopin,
308,1(6),"Передні стегна у вершинній половині з зубцем (IV–V) або зачатком у вигляді горбика (III), але і в останньому випадку він більший за горбики на середніх і задніх стегнах.",,,"Front femurs in the apical half with a tooth (IV–V) or a tubercle in the form of a hump (III), but even in the latter case it is larger than the humps on the middle and hind femurs.",,"The anterior hips in the apex with a tooth (IV - V) or a rudiment in the form of a hump (III), but in the latter case it is larger than the hills on the middle and hips.",
308,2(5),"Чорна поперечна смужка на II тергіті широка, майже такої ж ширини, як перша випарна площадка, а ширина паратергітних плям значно більша за довжину (II–V). Голінки з широкими світлими перев'язями, що різко виділяються на темному фоні (IV–V).",,,"The black transverse stripe on tergite II is wide, almost as wide as the first ESES, and the width of the paratergite spots is much greater than the length (II–V). Tibiae with wide light rings that stand out sharply against a dark background (IV–V).",,"The black transverse strip on the II tergita is wide, almost the same width as the first evaporated platform, and the width of the paratchergic spots is much larger than the length (II - V). Golins with wide light dressings that stand out sharply on a dark background (IV - V).",
308,3(4),"Черевце світле (I–V), жовте або (по боках) сизе. Вусики темні. Голова і груди в розкиданому пунктируванні. Зовнішній край вилиць угнутий, а наличник звужений при вершині (IV–V).",Рід пінтеус -- Pinthaeus,,"The abdomen is light (I–V), yellow or (on the sides) grayish. Antennae are dark. Head and thorax with scattered punctuation. The outer edge of the jugae is concave, and the tylus is narrowed at the apex (IV–V).", -- Pinthaeus,"The abdomen is light (I - V), yellow or (on the sides) bisy. The tendrils are dark. Head and chest in scattered punctuation. The outer edge of the cheeks is bent and the trim is narrowed at the top (IV - V).",Pinteus - Pinthaeus
308,4(3),"Черевце темне (I–V), малинове (I–IV) або буре (V). Вусики темні (I–III) або світлі, жовтуваті, лише вершини двох останніх члеників чорні (IV–V). Голова і груди в густому пунктируванні. Зовнішній край вилиць прямий, а наличник не звужений при вершині (IV–V).",Рід пікромерус -- Picromerus,,"The abdomen is dark (I–V), crimson (I–IV) or brown (V). Antennae are dark (I–III) or light, yellowish, only the tops of the last two segments are black (IV–V). Head and thorax with dense punctuation. The outer edge of the jugae is straight, and the tylus is not narrowed at the apex (IV–V).", -- Picromerus,"The abdomen is dark (I - V), raspberry (I -IV) or brown (V). The tendrils are dark (I -III) or light, yellowish, only the vertices of the last two joints are black (IV -V). Head and chest in thick puncture. The outer edge of the cheeks is straight and the trim is not narrowed at the top (IV - V).",Genus Picromerus - Picromerus
308,5(2),"На II тергіті немає чорної смужки або вона дуже вузька; паратергітні плями правильної напівовальної форми, однакової довжини і ширини (II–V). Голінки чорні.",Рід яла -- Jalla,,"There is no black stripe on tergite II or it is very narrow; paratergite spots of regular semi-oval shape, equal in length and width (II–V). Tibiae are black.", -- Jalla,"There is no black strip on II tergitis or it is very narrow; Paratergic spots of regular semi -oval shape, the same length and width (II - V). Black lands.",The Yala's genus is jalla
308,6(1),"Передні стегна без зачатків зубця, а якщо з горбиками, то вони не більші за горбики на середніх і задніх голінках (III–V).",,,"Front femurs without a tooth, and if with tubercles, they are not larger than tubercles on middle and hind tibiae (III–V).",,"The anterior hips without the rudiments of the tooth, and if with the hills, they are not larger than the hills on the middle and hind lands (III - V).",
308,7(12),"Черевце не суцільно малинове (I–V), боковий край передньоспинки звичайно зазублений (III–V).",,,"The abdomen is not completely crimson (I–V), the lateral edge of the pronotum is usually serrated (III–V).",,"The abdomen is not solid (I - V), the lateral edge of the anterior apartment is usually serrated (III - V).",
309,8(9),"Черевце світложовте (I–V) з трьома широкими поздовжніми червоними смугами (посередині і по боках), що з'єднуються при вершині черевця (I–III); якщо ці смуги розмиті, то голова i груди майже суцільно жовтуватого кольору, крім небагатьох темних плям (IV–V).",Рід арма -- Arma,,"The abdomen is light yellow (I–V) with three wide longitudinal red stripes (in the middle and on the sides), which connect at the apex of the abdomen (I–III); if these stripes are blurred, then the head and thorax are almost completely yellowish, except for a few dark spots (IV–V).", -- Arma,"Belly light yellow (I - V) with three wide longitudinal red stripes (in the middle and on the sides) that connect at the top of the abdomen (I -III); If these strips are blurred, the head and chest are almost completely yellowish, except for a few dark spots (IV - V).",ARMA genus - arma
309,9(8),"Черевце темніше, від червонуватожовтого до червонуватобурого кольору, без червоних поздовжніх смуг (I–V). Голова і груди суцільно чорні, лише бокові краї передньоспинки і чохлів надкрил світлі.",,,"The abdomen is darker, from reddish-yellow to reddish-brown, without red longitudinal stripes (I–V). The head and thorax are completely black, only the lateral edges of the pronotum and hemelytrae are light.",,"The abdomen is darker, from reddish to reddish, without red longitudinal stripes (I - V). The head and chest are completely black, only the lateral edges of the anterior stop and the covers are light.",
309,10(11),"Бокові краї передньоспинки попереду задніх кутів світлі на всю ширину і по самому краю зазублені (III–V); у старших стадій зубці пилковидні, відігнуті назад (рис. 132). Хоботок заходить за тазики задніх ніг або доходить до них. Випарні площадки у IV–V стадії з вирізкою на боках (рис. 132).Черевце непунктироване або в дуже ніжному і тонкому пунктируванні.",Рід троїлус -- Troilus,132; 132,"The lateral edges of the pronotum in front of the posterior corners are light throughout their entire width and serrated along the very edge (III–V); in older stages, the teeth are saw-shaped, bent back (Fig. 132). The proboscis goes behind the coxae of the hind legs or reaches them. ESESs in stage IV–V with incision on the sides (Fig. 132). Abdomen unpunctuated or with very gentle and fine punctuation.", -- Troilus,"The side edges of the front corners in front of the hind angles of light on the entire width and at the very edge of the served (III - V); In the older stages, the teeth are dusty, bent back (Fig. 132). The proboscis goes beyond or reaches the hind legs. Evaporation in stage IV -V with a tenderloin on the sides (Fig. 132). The boot is non -fountied or in a very gentle and thin puncture.",Troilus genus - Troilus
309,11(10),"Бокові краї передньоспинки майже гладенькі, темні (як і диск), лише у V стадії облямовані світлою жовтуватою або червонуватою вузькою смужкою і по самому краю ледве зазублені. Хоботок злегка заходить за тазики середніх ніг (II–III) або лише доходить (IV–V) до них. Випарні площадки без вирізів на боках (I–V). Черевце в досить густому і великому чорному пунктируванні (IV–V).",Рід ейзаркорис -- Eysarcoris,,"The lateral edges of the pronotum are almost smooth, dark (as is the disc), bordered by a light yellowish or reddish narrow stripe only in stage V and barely jagged along the very edge. The proboscis slightly extends beyond the coxae of the middle legs (II–III) or only reaches (IV–V) them. ESESs without cutouts on the sides (I–V). Abdomen with rather dense and large black punctuation (IV–V).", -- Eysarcoris,"The side edges of the front are almost smooth, dark (like a disk), only in stage V are fringed with a light yellow or reddish narrow strip and on the very edge is barely seized. The proboscis goes slightly as the medium leg basins (II - III) or only reaches (IV -V). Evaporated platforms without cutouts on the sides (I - V). The abdomen in a fairly dense and large black punctuation (IV - V).",Genus Eisarcoris - Eysarcoris
309,12(7),"Черевце в усіх стадій малинове. Груди чорні з синюватим металевим полиском. Бокові краї передньоспинки не зазублені, лише злегка хвилясті.",Рід цикрона -- Zicrona,,"The abdomen is crimson in all stages. The chest is black with a bluish metallic sheen. The lateral edges of the front back are not serrated, only slightly wavy.", -- Zicrona,"The abdomen in all stages of raspberry. Breasts are black with a bluish metallic pool. The side edges of the front are not serrated, only slightly wavy.",Cyrone genus - zicrona
